CAS,pubchem_cid,chebi_id,preferred_name,iupac_name,molecular_formula,molecular_weight,isomeric_smiles,canonical_smiles,inchi,inchikey,xlogp,tpsa,synonyms,cas_queried,cas_class,cas_repairs
868540-17-4,11556711,CHEBI:65347,Carfilzomib,(2S)-4-methyl-N-[(2S)-1-[[(2S)-4-methyl-1-[(2R)-2-methyloxiran-2-yl]-1-oxopentan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]-2-[[(2S)-2-[(2-morpholin-4-ylacetyl)amino]-4-phenylbutanoyl]amino]pentanamide,C40H57N5O7,719.9,CC(C)C[C@@H](C(=O)[C@]1(CO1)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,"InChI=1S/C40H57N5O7/c1-27(2)22-32(36(47)40(5)26-52-40)42-39(50)34(24-30-14-10-7-11-15-30)44-38(49)33(23-28(3)4)43-37(48)31(17-16-29-12-8-6-9-13-29)41-35(46)25-45-18-20-51-21-19-45/h6-15,27-28,31-34H,16-26H2,1-5H3,(H,41,46)(H,42,50)(H,43,48)(H,44,49)/t31-,32-,33-,34-,40+/m0/s1",BLMPQMFVWMYDKT-NZTKNTHTSA-N,4.7,158,"Carfilzomib | 868540-17-4 | Kyprolis | PR-171 | DTXSID4048690 | NSC-758252 | 72X6E3J5AR | N-{(2S)-2-[(morpholin-4-ylacetyl)amino]-4-phenylbutanoyl}-L-leucyl-N-{(2S)-4-methyl-1-[(2R)-2-methyloxiran-2-yl]-1-oxopentan-2-yl}-L-phenylalaninamide | DTXCID0028616 | CHEBI:65347 | (2S)-N-((1S)-1-Benzyl-2-(((1S)-3-methyl-1-(((2R)-2-methyloxiran-2-yl)carbonyl)butyl)amino)-2-oxoethyl)-4-methyl-2-(((2S)-2-((morpholin-4-ylacetyl)amino)-4-phenylbutanoyl)amino)pentanamide | L-Phenylalaninamide, (alphaS)-alpha-((4-morpholinylacetyl)amino)benzenebutanoyl-L-leucyl-N-((1S)-3-methyl-1-(((2R)-2-methyloxiranyl)carbonyl)butyl)- | carfilzomibum | PR171 | (2S)-N-[(1S)-1-Benzyl-2-[[(1S)-3-methyl-1-[[(2R)-2-methyloxiran-2-yl]carbonyl]butyl]amino]-2-oxoethyl]-4-methyl-2-[[(2S)-2-[(morpholin-4-ylacetyl)amino]-4-phenylbutanoyl]amino]pentanamide | N-((2S)-2-((morpholin-4-ylacetyl)amino)-4-phenylbutanoyl)-L-leucyl-N-((2S)-4-methyl-1-((2R)-2-methyloxiran-2-yl)-1-oxopentan-2-yl)-L-phenylalaninamide | RefChem:57059 | L01XX45 | Carfilzomib (PR-171) | Carfilzomib (PR171)",868540-17-4,valid,
179324-69-7,387447,CHEBI:52717,Bortezomib,[(1R)-3-methyl-1-[[(2S)-3-phenyl-2-(pyrazine-2-carbonylamino)propanoyl]amino]butyl]boronic acid,C19H25BN4O4,384.2,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,"InChI=1S/C19H25BN4O4/c1-13(2)10-17(20(27)28)24-18(25)15(11-14-6-4-3-5-7-14)23-19(26)16-12-21-8-9-22-16/h3-9,12-13,15,17,27-28H,10-11H2,1-2H3,(H,23,26)(H,24,25)/t15-,17-/m0/s1",GXJABQQUPOEUTA-RDJZCZTQSA-N,,124,"Bortezomib | 179324-69-7 | Velcade | PS-341 | LDP-341 | NSC-681239 | LDP 341 | DTXSID3040980 | Bortezomib accord | 69G8BD63PP | N-[(1R)-1-(DIHYDROXYBORYL)-3-METHYLBUTYL]-N-(PYRAZIN-2-YLCARBONYL)-L-PHENYLALANINAMIDE | DTXCID1020980 | CHEBI:52717 | [(1R)-3-methyl-1-({(2S)-3-phenyl-2-[(pyrazin-2-ylcarbonyl)amino]propanoyl}amino)butyl]boronic acid | Boronic acid, ((1R)-3-methyl-1-(((2S)-1-oxo-3-phenyl-2-((pyrazinylcarbonyl)amino)propyl)amino)butyl)- | N-((1S)-1-Benzyl-2-(((1R)-1-(dihydroxyboranyl)-3-methylbutyl)amino)-2-oxoethyl)pyrazinecarboxamide | ((1R)-3-Methyl-1-(((2S)-3-phenyl-2-((pyrazinylcarbonyl)amino)propanoyl)amino)butyl)boronic acid | bortezomibum | Bortexomib | LDP341",179324-69-7,valid,
779353-01-3,,,,,,,,,,,,,,779353-01-3,invalid_checksum,
404950-80-7,6918837,CHEBI:85990,Panobinostat,(E)-N-hydroxy-3-[4-[[2-(2-methyl-1H-indol-3-yl)ethylamino]methyl]phenyl]prop-2-enamide,C21H23N3O2,349.4,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,"InChI=1S/C21H23N3O2/c1-15-18(19-4-2-3-5-20(19)23-15)12-13-22-14-17-8-6-16(7-9-17)10-11-21(25)24-26/h2-11,22-23,26H,12-14H2,1H3,(H,24,25)/b11-10+",FPOHNWQLNRZRFC-ZHACJKMWSA-N,3,77.2,"Panobinostat | 404950-80-7 | LBH-589 | Faridak | LBH 589 | NVP-LBH589 | 9647FM7Y3Z | (2E)-N-hydroxy-3-[4-({[2-(2-methyl-1H-indol-3-yl)ethyl]amino}methyl)phenyl]prop-2-enamide | (E)-N-hydroxy-3-[4-[[2-(2-methyl-1H-indol-3-yl)ethylamino]methyl]phenyl]prop-2-enamide | CHEBI:85990 | DTXSID40193506 | 2-Propenamide, N-hydroxy-3-(4-(((2-(2-methyl-1H-indol-3-yl)ethyl)amino)methyl)phenyl)-, (2E)- | 2-Propenamide, N-hydroxy-3-(4-(((2-(2-methyl-1H-indol-3-yl)ethyl)amino) methyl)phenyl)-, (2E)- | 2-Propenamide, N-hydroxy-3-[4-[[[2-(2-methyl-1H-indol-3-yl)ethyl]amino]methyl]phenyl]-, (2E)- | Panobinostatum | (E)-N-hydroxy-3-(4-((2-(2-methyl-1H-indol-3-yl)ethylamino)methyl)phenyl)prop-2-enamide | (2E)-N-HYDROXY-3-(4-(((2-(2-METHYL-1H-INDOL-3-YL)ETHYL)AMINO)METHYL)PHENYL)PROP-2-ENAMIDE | RefChem:56999 | NVP LBH589 | DTXCID10115997",404950-80-7,valid,
935888-69-0,25067547,,Oprozomib,"N-[(2S)-3-methoxy-1-[[(2S)-3-methoxy-1-[[(2S)-1-[(2R)-2-methyloxiran-2-yl]-1-oxo-3-phenylpropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]-2-methyl-1,3-thiazole-5-carboxamide",C25H32N4O7S,532.6,CC1=NC=C(S1)C(=O)N[C@@H](COC)C(=O)N[C@@H](COC)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)[C@]3(CO3)C,CC1=NC=C(S1)C(=O)NC(COC)C(=O)NC(COC)C(=O)NC(CC2=CC=CC=C2)C(=O)C3(CO3)C,"InChI=1S/C25H32N4O7S/c1-15-26-11-20(37-15)24(33)29-19(13-35-4)23(32)28-18(12-34-3)22(31)27-17(21(30)25(2)14-36-25)10-16-8-6-5-7-9-16/h5-9,11,17-19H,10,12-14H2,1-4H3,(H,27,31)(H,28,32)(H,29,33)/t17-,18-,19-,25+/m0/s1",SWZXEVABPLUDIO-WSZYKNRRSA-N,1.1,176,"Oprozomib | 935888-69-0 | ONX-0912 | PR-047 | ONX 0912 | MZ37792Y8J | DTXSID201025950 | N-[(2S)-3-methoxy-1-[[(2S)-3-methoxy-1-[[(2S)-1-[(2R)-2-methyloxiran-2-yl]-1-oxo-3-phenylpropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]-2-methyl-1,3-thiazole-5-carboxamide | (2S)-3-methoxy-2-[(2S)-3-methoxy-2-[(2-methyl-1,3-thiazol-5-yl)formamido]propanamido]-N-[(2S)-1-[(2R)-2-methyloxiran-2-yl]-1-oxo-3-phenylpropan-2-yl]propanamide | oprozomibum | (2S)-3-methoxy-2-((2S)-3-methoxy-2-((2-methyl-1,3-thiazol-5-yl)formamido)propanamido)-N-((2S)-1-((2R)-2-methyloxiran-2-yl)-1-oxo-3-phenylpropan-2-yl)propanamide | N-((2S)-3-methoxy-1-(((2S)-3-methoxy-1-(((2S)-1-((2R)-2-methyloxiran-2-yl)-1-oxo-3-phenylpropan-2-yl)amino)-1-oxopropan-2-yl)amino)-1-oxopropan-2-yl)-2-methyl-1,3-thiazole-5-carboxamide | RefChem:928244 | Proteasome Inhibitor ONX 0912 | DTXCID801510202 | O-Methyl-N-((2-methylthiazol-5-yl)carbonyl)-L-seryl-O-methyl-N-((1S)-1-benzyl-2-((2R)-2-methyloxiran-2-yl)-2-oxoethyl)-L-serinamide | Oprozomib (ONX 0912) | N-((S)-3-methoxy-1-(((S)-3-methoxy-1-(((S)-1-((R)-2-methyloxiran-2-yl)-1-oxo-3-phenylpropan-2-yl)amino)-1-oxopropan-2-yl)amino)-1-oxopropan-2-yl)-2-methylthiazole-5-carboxamide | MFCD25976563 | PR 047",935888-69-0,valid,
923564-51-6,24978538,CHEBI:131174,Abt 263,"4-[4-[[2-(4-chlorophenyl)-5,5-dimethylcyclohexen-1-yl]methyl]piperazin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide",C47H55ClF3N5O6S3,974.6,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,"InChI=1S/C47H55ClF3N5O6S3/c1-46(2)20-18-42(34-8-12-37(48)13-9-34)36(31-46)32-55-22-24-56(25-23-55)39-14-10-35(11-15-39)45(57)53-65(60,61)41-16-17-43(44(30-41)64(58,59)47(49,50)51)52-38(19-21-54-26-28-62-29-27-54)33-63-40-6-4-3-5-7-40/h3-17,30,38,52H,18-29,31-33H2,1-2H3,(H,53,57)/t38-/m1/s1",JLYAXFNOILIKPP-KXQOOQHDSA-N,9.6,170,"Navitoclax | 923564-51-6 | ABT-263 | ABT 263 | ABT263 | navitoclaxum | XKJ5VVK2WD | A-855071.0 | 4-[4-[[2-(4-chlorophenyl)-5,5-dimethylcyclohexen-1-yl]methyl]piperazin-1-yl]-N-[4-[[(2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl]amino]-3-(trifluoromethylsulfonyl)phenyl]sulfonylbenzamide | DTXSID2042640 | CHEBI:131174 | Benzamide, 4-(4-((2-(4-chlorophenyl)-5,5-dimethyl-1-cyclohexen-1-yl)methyl)-1-piperazinyl)-N-((4-(((1R)-3-(4-morpholinyl)-1-((phenylthio)methyl)propyl)amino)-3-((trifluoromethyl)sulfonyl)phenyl)sulfonyl)- | 4-(4-((2-(4-chlorophenyl)-5,5-dimethylcyclohexen-1-yl)methyl)piperazin-1-yl)-N-(4-(((2R)-4-morpholin-4-yl-1-phenylsulfanylbutan-2-yl)amino)-3-(trifluoromethylsulfonyl)phenyl)sulfonylbenzamide | Benzamide, 4-[4-[[2-(4-chlorophenyl)-5,5-dimethyl-1-cyclohexen-1-yl]methyl]-1-piperazinyl]-N-[[4-[[(1R)-3-(4-morpholinyl)-1-[(phenylthio)methyl]propyl]amino]-3-[(trifluoromethyl)sulfonyl]phenyl]sulfonyl]- | RefChem:832111 | DTXCID0022640 | BcI-2 Family Protein Inhibitor ABT-263 | 4-(4-((2-(4-chlorophenyl)-5,5-dimethylcyclohex-1-en-1-yl)methyl)piperazin-1-yl)-N-(4-(((2R)-4-(morpholin-4-yl)-1-(phenylsulfanyl)butan-2-yl)amino)-3-trifluoromethanesulfonylbenzenesulfonyl)benzamide | ABT-263 (Navitoclax) | Navitoclax (ABT-263)",923564-51-6,valid,
26833-87-4,285033,CHEBI:71019,Omacetaxine Mepesuccinate,"1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(4-hydroxy-4-methylpentyl)butanedioate",C29H39NO9,545.6,CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,CC(C)(CCCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O,"InChI=1S/C29H39NO9/c1-27(2,33)8-5-10-29(34,16-23(31)36-4)26(32)39-25-22(35-3)15-28-9-6-11-30(28)12-7-18-13-20-21(38-17-37-20)14-19(18)24(25)28/h13-15,24-25,33-34H,5-12,16-17H2,1-4H3/t24-,25-,28+,29-/m1/s1",HYFHYPWGAURHIV-JFIAXGOJSA-N,0.8,124,"Omacetaxine mepesuccinate | Ceflatonin | Myelostat | Synribo | CGX-635 | Omapro | Homoharringtonin | (-)-homoharringtonine | NSC-141633 | mepesuccinate d'omacetaxine | mepesuccinato de omacetaxina | CHEBI:71019 | (2'R,3S,4S,5R)-(-)-homoharringtonine | omacetaxini mepesuccinas | 6FG8041S5B | 1-O-[(2S,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.02,6.06,10.015,19]icosa-1(20),4,13,15(19)-tetraen-3-yl] 4-O-methyl (2R)-2-hydroxy-2-(4-hydroxy-4-methylpentyl)butanedioate | Cephalotaxine 4-Methyl (2R)-2-Hydroxy-2-(4-hydroxy-4-methylpentyl)butanedioate (Ester) | Cephalotaxine, 4-methyl (2R)-2-hydroxy-2-(4-hydroxy-4-methylpentyl)butanedioate (ester) | DTXCID8025678 | 1-((1S,3AR,14BS)-2-METHOXY-1,5,6,8,9,14B-HEXAHYDRO-4H-CYCLOPENTA(A)(1,3)DIOXOLO(4,5-H)PYRROLO(2,1-B)(3)BENZAZEPIN-1-YL) 4-METHYL (2R)-2-HYDROXY-2-(4-HYDROXY-4-METHYLPENTYL)BUTANEDIOATE",26833-87-4,valid,
781661-94-7,11178236,CHEBI:139608,Sepantronium Bromide,"1-(2-methoxyethyl)-2-methyl-3-(pyrazin-2-ylmethyl)benzo[f]benzimidazol-3-ium-4,9-dione bromide",C20H19BrN4O3,443.3,CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4.[Br-],CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4.[Br-],"InChI=1S/C20H19N4O3.BrH/c1-13-23(9-10-27-2)17-18(24(13)12-14-11-21-7-8-22-14)20(26)16-6-4-3-5-15(16)19(17)25;/h3-8,11H,9-10,12H2,1-2H3;1H/q+1;/p-1",QBIYUDDJPRGKNJ-UHFFFAOYSA-M,,78,"781661-94-7 | Sepantronium bromide | YM155 | YM-155 | Ym 155 | bromuro de sepantronio | bromure de sepantronium | sepantronii bromidum | 7H5Q4J1CM5 | CHEBI:139608 | DTXSID90228817 | 1H-Naphth(2,3-d)imidazolium, 4,9-dihydro-1-(2-methoxyethyl)-2-methyl-4,9-dioxo-3-(pyrazinylmethyl)-, bromide | RefChem:931621 | Survivin Inhibitor YM155 | DTXCID40151308 | 1-(2-methoxyethyl)-2-methyl-4,9-dioxo-3-(pyrazin-2-ylmethyl)-4,9-dihydro-1H-naphtho(2,3-d)imidazolium bromide | YM155 (Sepantronium Bromide) | 1-(2-methoxyethyl)-2-methyl-4,9-dioxo-3-(pyrazin-2-ylmethyl)-4,9-dihydro-1h-naphtho[2,3-d]imidazol-3-ium bromide | Sepantronium (bromide) | MFCD11983133",781661-94-7,valid,
1072833-77-2,25183872,CHEBI:90942,Ixazomib,"[(1R)-1-[[2-[(2,5-dichlorobenzoyl)amino]acetyl]amino]-3-methylbutyl]boronic acid",C14H19BCl2N2O4,361.0,B([C@H](CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,"InChI=1S/C14H19BCl2N2O4/c1-8(2)5-12(15(22)23)19-13(20)7-18-14(21)10-6-9(16)3-4-11(10)17/h3-4,6,8,12,22-23H,5,7H2,1-2H3,(H,18,21)(H,19,20)/t12-/m0/s1",MXAYKZJJDUDWDS-LBPRGKRZSA-N,,98.7,"Ixazomib | 1072833-77-2 | MLN2238 | MLN-2238 | MLN 2238 | MLN-9708 FREE BASE | DTXSID701025662 | CHEBI:90942 | L01XX50 | [(1R)-1-[[2-[(2,5-dichlorobenzoyl)amino]acetyl]amino]-3-methylbutyl]boronic acid | Boronic acid, b-((1R)-1-((2-((2,5-dichlorobenzoyl)amino)acetyl)amino)-3-methylbutyl)- | 71050168A2 | [(1R)-1-{2-[(2,5-dichlorophenyl)formamido]acetamido}-3-methylbutyl]boronic acid | ((1R)-1-((2,5-DICHLOROBENZAMIDO)ACETAMIDO)-3-METHYLBUTYL)BORONIC ACID | ixazomibum | ((1R)-1-((2-((2,5-dichlorobenzoyl)amino)acetyl)amino)-3-methylbutyl)boronic acid | ((1R)-1-(2-((2,5-dichlorophenyl)formamido)acetamido)-3-methylbutyl)boronic acid | Boronic acid, B-[(1R)-1-[[2-[(2,5-dichlorobenzoyl)amino]acetyl]amino]-3-methylbutyl]- | RefChem:56272 | DTXCID001509928",1072833-77-2,valid,
25316-40-9,443939,CHEBI:31522,Doxorubicin Hydrochloride,"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione;hydrochloride",C27H30ClNO11,580.0,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,"InChI=1S/C27H29NO11.ClH/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34;/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3;1H/t10-,13-,15-,17-,22+,27-;/m0./s1",MWWSFMDVAYGXBV-RUELKSSGSA-N,,206,"Doxorubicin Hydrochloride | 25316-40-9 | Doxorubicin HCl | ADRIAMYCIN HYDROCHLORIDE | Adriacin | Adriamycin PFS | Adriamycin RDF | ADRIAMYCIN, HYDROCHLORIDE | Adriablastina cs | DTXSID3030636 | doxorubicin.HCl | Doxorubicini hydrochloridum | hydroxydaunomycin hydrochloride | 82F2G7BL4E | Doxorubicin citric acid salt | DTXCID1010636 | Liposomal doxorubicin hydrochloride | DOXORUBICIN HYDROCHLORIDE LIPOSOME | 5,12-Naphthacenedione, 10-((3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-, hydrochloride, (8S,10S)- | FI 106",25316-40-9,valid,
