feature_id,symb,num,length
ERCC-00002,ERCC-00002 (spike-in control),1,1061
ERCC-00003,ERCC-00003 (spike-in control),1,1023
ERCC-00004,ERCC-00004 (spike-in control),1,523
ERCC-00009,ERCC-00009 (spike-in control),1,984
ERCC-00012,ERCC-00012 (spike-in control),1,994
ERCC-00013,ERCC-00013 (spike-in control),1,808
ERCC-00014,ERCC-00014 (spike-in control),1,1957
ERCC-00016,ERCC-00016 (spike-in control),1,844
ERCC-00017,ERCC-00017 (spike-in control),1,1136
ERCC-00019,ERCC-00019 (spike-in control),1,644
ERCC-00022,ERCC-00022 (spike-in control),1,751
ERCC-00024,ERCC-00024 (spike-in control),1,536
ERCC-00025,ERCC-00025 (spike-in control),1,1994
ERCC-00028,ERCC-00028 (spike-in control),1,1130
ERCC-00031,ERCC-00031 (spike-in control),1,1138
ERCC-00033,ERCC-00033 (spike-in control),1,2022
ERCC-00034,ERCC-00034 (spike-in control),1,1019
ERCC-00035,ERCC-00035 (spike-in control),1,1130
ERCC-00039,ERCC-00039 (spike-in control),1,740
ERCC-00040,ERCC-00040 (spike-in control),1,744
ERCC-00041,ERCC-00041 (spike-in control),1,1122
ERCC-00042,ERCC-00042 (spike-in control),1,1023
ERCC-00043,ERCC-00043 (spike-in control),1,1023
ERCC-00044,ERCC-00044 (spike-in control),1,1156
ERCC-00046,ERCC-00046 (spike-in control),1,522
ERCC-00048,ERCC-00048 (spike-in control),1,992
ERCC-00051,ERCC-00051 (spike-in control),1,274
ERCC-00053,ERCC-00053 (spike-in control),1,1023
ERCC-00054,ERCC-00054 (spike-in control),1,274
ERCC-00057,ERCC-00057 (spike-in control),1,1021
ERCC-00058,ERCC-00058 (spike-in control),1,1136
ERCC-00059,ERCC-00059 (spike-in control),1,525
ERCC-00060,ERCC-00060 (spike-in control),1,523
ERCC-00061,ERCC-00061 (spike-in control),1,1136
ERCC-00062,ERCC-00062 (spike-in control),1,1023
ERCC-00067,ERCC-00067 (spike-in control),1,644
ERCC-00069,ERCC-00069 (spike-in control),1,1137
ERCC-00071,ERCC-00071 (spike-in control),1,642
ERCC-00073,ERCC-00073 (spike-in control),1,603
ERCC-00074,ERCC-00074 (spike-in control),1,522
ERCC-00075,ERCC-00075 (spike-in control),1,1023
ERCC-00076,ERCC-00076 (spike-in control),1,642
ERCC-00077,ERCC-00077 (spike-in control),1,273
ERCC-00078,ERCC-00078 (spike-in control),1,993
ERCC-00079,ERCC-00079 (spike-in control),1,644
ERCC-00081,ERCC-00081 (spike-in control),1,534
ERCC-00083,ERCC-00083 (spike-in control),1,1022
ERCC-00084,ERCC-00084 (spike-in control),1,994
ERCC-00085,ERCC-00085 (spike-in control),1,844
ERCC-00086,ERCC-00086 (spike-in control),1,1020
ERCC-00092,ERCC-00092 (spike-in control),1,1124
ERCC-00095,ERCC-00095 (spike-in control),1,521
ERCC-00096,ERCC-00096 (spike-in control),1,1107
ERCC-00097,ERCC-00097 (spike-in control),1,523
ERCC-00098,ERCC-00098 (spike-in control),1,1143
ERCC-00099,ERCC-00099 (spike-in control),1,1350
ERCC-00104,ERCC-00104 (spike-in control),1,2022
ERCC-00108,ERCC-00108 (spike-in control),1,1022
ERCC-00109,ERCC-00109 (spike-in control),1,536
ERCC-00111,ERCC-00111 (spike-in control),1,994
ERCC-00112,ERCC-00112 (spike-in control),1,1136
ERCC-00113,ERCC-00113 (spike-in control),1,840
ERCC-00116,ERCC-00116 (spike-in control),1,1991
ERCC-00117,ERCC-00117 (spike-in control),1,1136
ERCC-00120,ERCC-00120 (spike-in control),1,536
ERCC-00123,ERCC-00123 (spike-in control),1,1022
ERCC-00126,ERCC-00126 (spike-in control),1,1118
ERCC-00130,ERCC-00130 (spike-in control),1,1059
ERCC-00131,ERCC-00131 (spike-in control),1,771
ERCC-00134,ERCC-00134 (spike-in control),1,274
ERCC-00136,ERCC-00136 (spike-in control),1,1033
ERCC-00137,ERCC-00137 (spike-in control),1,537
ERCC-00138,ERCC-00138 (spike-in control),1,1024
ERCC-00142,ERCC-00142 (spike-in control),1,493
ERCC-00143,ERCC-00143 (spike-in control),1,784
ERCC-00144,ERCC-00144 (spike-in control),1,538
ERCC-00145,ERCC-00145 (spike-in control),1,1042
ERCC-00147,ERCC-00147 (spike-in control),1,1023
ERCC-00148,ERCC-00148 (spike-in control),1,494
ERCC-00150,ERCC-00150 (spike-in control),1,743
ERCC-00154,ERCC-00154 (spike-in control),1,537
ERCC-00156,ERCC-00156 (spike-in control),1,494
ERCC-00157,ERCC-00157 (spike-in control),1,1019
ERCC-00158,ERCC-00158 (spike-in control),1,1027
ERCC-00160,ERCC-00160 (spike-in control),1,743
ERCC-00162,ERCC-00162 (spike-in control),1,523
ERCC-00163,ERCC-00163 (spike-in control),1,543
ERCC-00164,ERCC-00164 (spike-in control),1,1022
ERCC-00165,ERCC-00165 (spike-in control),1,872
ERCC-00168,ERCC-00168 (spike-in control),1,1024
ERCC-00170,ERCC-00170 (spike-in control),1,1023
ERCC-00171,ERCC-00171 (spike-in control),1,505
ENSG00000290825,DDX11L2_ENSG00000290825,1,1657
ENSG00000223972,DDX11L1,6,632
ENSG00000227232,WASH7P,5,1351
ENSG00000278267,MIR6859-1,1,68
ENSG00000243485,MIR1302-2HG,5,1021
ENSG00000284332,MIR1302-2,1,138
ENSG00000237613,FAM138A,2,1219
ENSG00000268020,OR4G4P,3,840
ENSG00000290826,ENSG00000290826.1,1,1414
ENSG00000240361,OR4G11P,3,939
ENSG00000186092,OR4F5,7,2618
ENSG00000238009,ENSG00000238009.6,6,3726
ENSG00000239945,ENSG00000239945.1,1,1319
ENSG00000233750,CICP27,3,3812
